,english,japanese,good,view,url,count,sentence
1656,good,美味しい,55,23961.0,https://eikaiwa.dmm.com/uknow/questions/44067/,36377,False
23824,then,そうなるともう,1,1249.0,https://eikaiwa.dmm.com/uknow/questions/52996/,35965,False
7169,really,マジで,7,6953.0,https://eikaiwa.dmm.com/uknow/questions/38224/,35458,False
30471,because,〜わけですから,2,744.0,https://eikaiwa.dmm.com/uknow/questions/17444/,34510,False
11684,need,必要,4,3882.0,https://eikaiwa.dmm.com/uknow/questions/32984/,34391,False
28946,more,もっと,1,836.0,https://eikaiwa.dmm.com/uknow/questions/46573/,31064,False
7637,look,～そう,6,6505.0,https://eikaiwa.dmm.com/uknow/questions/22464/,31008,False
262,yeah,イェーイ,57,72761.0,https://eikaiwa.dmm.com/uknow/questions/38866/,31004,False
9048,people,「人は・・・」,16,5343.0,https://eikaiwa.dmm.com/uknow/questions/26386/,28954,False
8566,hey,ねーねー,10,5701.0,https://eikaiwa.dmm.com/uknow/questions/421/,28770,False
8423,something,なんとかかんとか,36,5813.0,https://eikaiwa.dmm.com/uknow/questions/20468/,28124,False
36195,us,私達ですか,2,454.0,https://eikaiwa.dmm.com/uknow/questions/38214/,27865,False
17365,make,させる,8,2151.0,https://eikaiwa.dmm.com/uknow/questions/52587/,27854,False
26789,thank,感謝しないと,1,990.0,https://eikaiwa.dmm.com/uknow/questions/38581/,27695,False
26851,even,でさえ,0,986.0,https://eikaiwa.dmm.com/uknow/questions/58782/,26894,False
5681,only,あくまで◯◯,10,8819.0,https://eikaiwa.dmm.com/uknow/questions/29592/,26892,False
15747,these,それらは,2,2534.0,https://eikaiwa.dmm.com/uknow/questions/58872/,26165,False
35617,say,「〇〇と書いてある横断幕」,2,481.0,https://eikaiwa.dmm.com/uknow/questions/41417/,25310,False
3390,please,おねだりする,21,14213.0,https://eikaiwa.dmm.com/uknow/questions/3966/,22643,False
7488,yes,よっしゃ,24,6640.0,https://eikaiwa.dmm.com/uknow/questions/9681/,22247,False
22035,little,〜ちゃん,0,1438.0,https://eikaiwa.dmm.com/uknow/questions/47819/,21815,False
367,into,はまる,145,60043.0,https://eikaiwa.dmm.com/uknow/questions/1126/,21756,False
18303,okay,とりま,8,1981.0,https://eikaiwa.dmm.com/uknow/questions/5155/,21462,False
114,over,～以上,121,106378.0,https://eikaiwa.dmm.com/uknow/questions/12462/,20988,False
7217,never,絶対に,23,6904.0,https://eikaiwa.dmm.com/uknow/questions/34987/,20687,False
13714,still,まだー,13,3106.0,https://eikaiwa.dmm.com/uknow/questions/40342/,20594,False
15910,first,まず,2,2480.0,https://eikaiwa.dmm.com/uknow/questions/45368/,20170,False
6602,than,〜より,6,7598.0,https://eikaiwa.dmm.com/uknow/questions/38745/,19454,False
12568,after,○○○してからね〜,8,3516.0,https://eikaiwa.dmm.com/uknow/questions/18401/,19414,False
7484,find,見つける,12,6642.0,https://eikaiwa.dmm.com/uknow/questions/33726/,19314,False
8100,sorry,えいま何て言ったの,23,6075.0,https://eikaiwa.dmm.com/uknow/questions/7898/,18099,False
17993,down,ダウン,3,2039.0,https://eikaiwa.dmm.com/uknow/questions/49702/,17831,False
12922,too,〜も。,15,3385.0,https://eikaiwa.dmm.com/uknow/questions/46339/,17598,False
4420,mean,〇〇は✕✕っていう意味だよ,11,11243.0,https://eikaiwa.dmm.com/uknow/questions/12988/,16451,False
30425,help,助けて,0,747.0,https://eikaiwa.dmm.com/uknow/questions/60447/,16004,False
36658,thought,思考,0,434.0,https://eikaiwa.dmm.com/uknow/questions/58637/,15543,False
11972,thing,「物扱いしないで」と言う時の物,12,3746.0,https://eikaiwa.dmm.com/uknow/questions/11378/,14794,False
2006,before,以前,35,21099.0,https://eikaiwa.dmm.com/uknow/questions/32986/,14508,False
12612,off,半額セール,15,3503.0,https://eikaiwa.dmm.com/uknow/questions/46886/,14077,False
4886,kind,種類,15,10270.0,https://eikaiwa.dmm.com/uknow/questions/36246/,14033,False
29736,love,愛情,2,787.0,https://eikaiwa.dmm.com/uknow/questions/60226/,14024,False
21401,sure,    の返事,10,1518.0,https://eikaiwa.dmm.com/uknow/questions/27561/,13822,False
5281,maybe,もしかして疲れてる,26,9466.0,https://eikaiwa.dmm.com/uknow/questions/19239/,13791,False
18587,work,働く,6,1934.0,https://eikaiwa.dmm.com/uknow/questions/39925/,13730,False
31056,wait,待機,5,712.0,https://eikaiwa.dmm.com/uknow/questions/64086/,13671,False
32149,also,また,1,653.0,https://eikaiwa.dmm.com/uknow/questions/44670/,13261,False
14466,always,いつも,4,2872.0,https://eikaiwa.dmm.com/uknow/questions/32890/,12978,False
28442,same,も同じように,0,869.0,https://eikaiwa.dmm.com/uknow/questions/46770/,12954,False
35181,every,毎に,3,502.0,https://eikaiwa.dmm.com/uknow/questions/59687/,12664,False
2909,actually,やっぱり,33,15987.0,https://eikaiwa.dmm.com/uknow/questions/5348/,12604,False
17677,many,複数の,0,2090.0,https://eikaiwa.dmm.com/uknow/questions/48136/,12039,False
24864,around,目安,3,1151.0,https://eikaiwa.dmm.com/uknow/questions/56735/,11899,False
28098,someone,誰か,3,894.0,https://eikaiwa.dmm.com/uknow/questions/46534/,11796,False
514,might,かもしれない,81,50223.0,https://eikaiwa.dmm.com/uknow/questions/36482/,11456,False
17434,next,次に,3,2138.0,https://eikaiwa.dmm.com/uknow/questions/53080/,11358,False
1623,nothing,別に…,69,24350.0,https://eikaiwa.dmm.com/uknow/questions/7155/,11278,False
35936,use,利用,5,466.0,https://eikaiwa.dmm.com/uknow/questions/58026/,10350,False
35851,life,暮らし,0,470.0,https://eikaiwa.dmm.com/uknow/questions/60458/,10270,False
368,leave,出発する,99,59996.0,https://eikaiwa.dmm.com/uknow/questions/31154/,10244,False
33071,world,世界,5,603.0,https://eikaiwa.dmm.com/uknow/questions/52810/,10228,False
12251,name,名前,29,3632.0,https://eikaiwa.dmm.com/uknow/questions/34750/,10211,False
35559,big,大きい,0,484.0,https://eikaiwa.dmm.com/uknow/questions/51262/,10173,False
15603,ah,あ,1,2567.0,https://eikaiwa.dmm.com/uknow/questions/52901/,10048,False
10261,great,すごい,7,4577.0,https://eikaiwa.dmm.com/uknow/questions/46125/,9337,False
5885,everything,何から何まで,12,8553.0,https://eikaiwa.dmm.com/uknow/questions/18958/,9304,False
29599,saw,のこぎり,5,795.0,https://eikaiwa.dmm.com/uknow/questions/59622/,9208,False
31342,left,左,21,696.0,https://eikaiwa.dmm.com/uknow/questions/36987/,8954,False
34992,already,もう,1,511.0,https://eikaiwa.dmm.com/uknow/questions/59198/,8902,False
5926,stay,泊まる,9,8504.0,https://eikaiwa.dmm.com/uknow/questions/43989/,8881,False
11648,coming,「近づいてくると」,15,3894.0,https://eikaiwa.dmm.com/uknow/questions/42694/,8749,False
19342,hear,聞こえる,1,1803.0,https://eikaiwa.dmm.com/uknow/questions/59612/,8681,False
6331,try,しようとする,6,7964.0,https://eikaiwa.dmm.com/uknow/questions/45947/,8512,False
611,remember,思い出す,43,45299.0,https://eikaiwa.dmm.com/uknow/questions/36510/,8499,False
28231,understand,納得,2,884.0,https://eikaiwa.dmm.com/uknow/questions/58565/,8369,False
6732,without,～しないで,9,7447.0,https://eikaiwa.dmm.com/uknow/questions/20444/,8270,False
16797,show,示す,7,2280.0,https://eikaiwa.dmm.com/uknow/questions/33169/,8212,False
15927,since,〜だから,5,2473.0,https://eikaiwa.dmm.com/uknow/questions/56220/,8028,False
2364,real,本物,16,18813.0,https://eikaiwa.dmm.com/uknow/questions/44055/,7990,False
7476,hell,地獄,22,6650.0,https://eikaiwa.dmm.com/uknow/questions/32824/,7751,False
24702,everyone,皆さん,1,1167.0,https://eikaiwa.dmm.com/uknow/questions/56295/,7737,False
885,looks,見た目,32,36277.0,https://eikaiwa.dmm.com/uknow/questions/11841/,7672,False
7909,done,出来上がりー,19,6251.0,https://eikaiwa.dmm.com/uknow/questions/1914/,7646,False
656,listen,ちょっと聞いて,74,43635.0,https://eikaiwa.dmm.com/uknow/questions/7342/,7596,False
11272,nice,愛想がいい,14,4062.0,https://eikaiwa.dmm.com/uknow/questions/4759/,7481,False
10053,father,お父さん,31,4685.0,https://eikaiwa.dmm.com/uknow/questions/34403/,7310,False
36821,start,始まる,0,426.0,https://eikaiwa.dmm.com/uknow/questions/52418/,7242,False
26792,person,人称,1,990.0,https://eikaiwa.dmm.com/uknow/questions/49525/,7214,False
19467,pretty,きれい,7,1783.0,https://eikaiwa.dmm.com/uknow/questions/3011/,7208,False
19928,live,生で◯◯を見たことある,3,1716.0,https://eikaiwa.dmm.com/uknow/questions/50861/,7119,False
17416,different,違う,2,2141.0,https://eikaiwa.dmm.com/uknow/questions/34670/,7113,False
25154,each,それぞれの,0,1124.0,https://eikaiwa.dmm.com/uknow/questions/58916/,6978,False
10255,god,神,15,4578.0,https://eikaiwa.dmm.com/uknow/questions/34706/,6943,False
8035,once,ある時,9,6134.0,https://eikaiwa.dmm.com/uknow/questions/31418/,6861,False
31683,thanks,ありがと,12,677.0,https://eikaiwa.dmm.com/uknow/questions/43876/,6808,False
23056,while,間あいだ,0,1331.0,https://eikaiwa.dmm.com/uknow/questions/33104/,6643,False
1608,night,一泊二日で旅行する,56,24574.0,https://eikaiwa.dmm.com/uknow/questions/24784/,6628,False
7805,both,どっちも,14,6336.0,https://eikaiwa.dmm.com/uknow/questions/32620/,6523,False
31101,money,お金,6,709.0,https://eikaiwa.dmm.com/uknow/questions/34590/,6454,False
36529,move,移行,2,440.0,https://eikaiwa.dmm.com/uknow/questions/62913/,6439,False
9435,probably,多分,9,5081.0,https://eikaiwa.dmm.com/uknow/questions/33920/,6376,False
9504,hard,大変,12,5028.0,https://eikaiwa.dmm.com/uknow/questions/35067/,6313,False
25018,again,再び,2,1137.0,https://eikaiwa.dmm.com/uknow/questions/53074/,6236,False
26147,guess,推測,2,1039.0,https://eikaiwa.dmm.com/uknow/questions/56171/,6200,False
18377,run,走る,3,1968.0,https://eikaiwa.dmm.com/uknow/questions/51269/,6187,False
9548,today,「最近の」,11,4992.0,https://eikaiwa.dmm.com/uknow/questions/38318/,6082,False
8960,school,学校,51,5409.0,https://eikaiwa.dmm.com/uknow/questions/48564/,6027,False
3097,change,お釣り,44,15200.0,https://eikaiwa.dmm.com/uknow/questions/38771/,5966,False
28644,part,部分,1,855.0,https://eikaiwa.dmm.com/uknow/questions/58640/,5949,False
13928,human,人間,9,3041.0,https://eikaiwa.dmm.com/uknow/questions/52718/,5890,False
14458,lost,迷子,7,2874.0,https://eikaiwa.dmm.com/uknow/questions/54239/,5722,False
21275,family,家族,5,1534.0,https://eikaiwa.dmm.com/uknow/questions/32818/,5664,False
19219,excuse,言い訳,3,1825.0,https://eikaiwa.dmm.com/uknow/questions/41867/,5626,False
10983,eat,食べる,9,4195.0,https://eikaiwa.dmm.com/uknow/questions/34083/,5485,False
34119,girl,少女,0,552.0,https://eikaiwa.dmm.com/uknow/questions/57288/,5459,False
5334,dad,父親を呼ぶ時,71,9367.0,https://eikaiwa.dmm.com/uknow/questions/35/,5346,False
35775,important,重要な,0,473.0,https://eikaiwa.dmm.com/uknow/questions/56298/,5340,False
22688,means,意味する,3,1369.0,https://eikaiwa.dmm.com/uknow/questions/56719/,5327,False
25873,hope,願う,2,1061.0,https://eikaiwa.dmm.com/uknow/questions/55430/,5232,False
2993,second,秒,65,15594.0,https://eikaiwa.dmm.com/uknow/questions/36638/,5206,False
19571,idea,思想,4,1768.0,https://eikaiwa.dmm.com/uknow/questions/55705/,5166,False
23496,fine,罰金,2,1282.0,https://eikaiwa.dmm.com/uknow/questions/58621/,5089,False
32056,together,一緒に,0,658.0,https://eikaiwa.dmm.com/uknow/questions/52139/,4958,False
18339,four,,9,1974.0,https://eikaiwa.dmm.com/uknow/questions/51930/,4885,False
3373,far,遠い,26,14256.0,https://eikaiwa.dmm.com/uknow/questions/38600/,4873,False
31986,year,年,11,661.0,https://eikaiwa.dmm.com/uknow/questions/52729/,4828,False
5297,play,上映する,6,9446.0,https://eikaiwa.dmm.com/uknow/questions/40516/,4812,False
26867,police,警察,5,984.0,https://eikaiwa.dmm.com/uknow/questions/55066/,4796,False
13866,car,自動車,5,3058.0,https://eikaiwa.dmm.com/uknow/questions/36276/,4744,False
24532,save,保管,4,1183.0,https://eikaiwa.dmm.com/uknow/questions/53082/,4743,False
830,whatever,全てのことに対してどうでもいい、,67,37567.0,https://eikaiwa.dmm.com/uknow/questions/6020/,4701,False
14312,friend,友達,10,2920.0,https://eikaiwa.dmm.com/uknow/questions/33733/,4680,False
12448,against,反対,3,3558.0,https://eikaiwa.dmm.com/uknow/questions/35022/,4627,False
36822,reason,要因,1,426.0,https://eikaiwa.dmm.com/uknow/questions/55086/,4517,False
24056,number,数人数、試合数,0,1226.0,https://eikaiwa.dmm.com/uknow/questions/35954/,4485,False
8624,exactly,正確に,9,5655.0,https://eikaiwa.dmm.com/uknow/questions/44868/,4480,False
5496,body,遺体,52,9112.0,https://eikaiwa.dmm.com/uknow/questions/30179/,4479,False
7907,set,設定する,2,6255.0,https://eikaiwa.dmm.com/uknow/questions/43911/,4380,False
2268,morning,午前,27,19274.0,https://eikaiwa.dmm.com/uknow/questions/34412/,4375,False
4805,watch,監視,10,10418.0,https://eikaiwa.dmm.com/uknow/questions/34081/,4365,False
27666,least,最低限,0,924.0,https://eikaiwa.dmm.com/uknow/questions/60444/,4307,False
21569,hello,こんにちは、おじゃまします,8,1496.0,https://eikaiwa.dmm.com/uknow/questions/53699/,4302,False
3103,close,おしい,44,15190.0,https://eikaiwa.dmm.com/uknow/questions/19037/,4286,False
5360,soon,今度,12,9314.0,https://eikaiwa.dmm.com/uknow/questions/47948/,4276,False
17220,phone,電話,7,2183.0,https://eikaiwa.dmm.com/uknow/questions/51755/,4232,False
15188,point,ポイント,6,2676.0,https://eikaiwa.dmm.com/uknow/questions/47648/,4206,False
31944,face,顔,1,663.0,https://eikaiwa.dmm.com/uknow/questions/52900/,4176,False
8545,fight,喧嘩,10,5719.0,https://eikaiwa.dmm.com/uknow/questions/40391/,4162,False
5440,almost,あと一息,27,9191.0,https://eikaiwa.dmm.com/uknow/questions/5668/,4154,False
5419,die,死ぬ,64,9229.0,https://eikaiwa.dmm.com/uknow/questions/32132/,4127,False
1641,worry,悩む,35,24107.0,https://eikaiwa.dmm.com/uknow/questions/34872/,4110,False
5436,front,前,8,9195.0,https://eikaiwa.dmm.com/uknow/questions/34274/,4099,False
16132,finally,挙句の果て,3,2429.0,https://eikaiwa.dmm.com/uknow/questions/16228/,4096,False
28075,read,読む,5,896.0,https://eikaiwa.dmm.com/uknow/questions/52465/,4086,False
4882,check,確認する,12,10281.0,https://eikaiwa.dmm.com/uknow/questions/51429/,4046,False
18051,blood,血,11,2027.0,https://eikaiwa.dmm.com/uknow/questions/34754/,3981,False
4902,mom,お母さん,43,10246.0,https://eikaiwa.dmm.com/uknow/questions/34608/,3965,False
13690,behind,裏,3,3114.0,https://eikaiwa.dmm.com/uknow/questions/38856/,3959,False
14045,telling,年令がバレる,17,2999.0,https://eikaiwa.dmm.com/uknow/questions/5151/,3905,False
27674,half,半分,2,923.0,https://eikaiwa.dmm.com/uknow/questions/56450/,3903,False
16979,red,赤,14,2238.0,https://eikaiwa.dmm.com/uknow/questions/34602/,3847,False
1767,though,〜だけどね,20,22917.0,https://eikaiwa.dmm.com/uknow/questions/21019/,3836,False
5497,president,社長,29,9112.0,https://eikaiwa.dmm.com/uknow/questions/51430/,3829,False
32286,black,黒,21,646.0,https://eikaiwa.dmm.com/uknow/questions/52406/,3814,False
24216,heart,心臓,15,1210.0,https://eikaiwa.dmm.com/uknow/questions/53507/,3785,False
12353,answer,答える,8,3592.0,https://eikaiwa.dmm.com/uknow/questions/34084/,3735,False
8254,welcome,ようこそ,29,5945.0,https://eikaiwa.dmm.com/uknow/questions/38183/,3699,False
22569,water,水,3,1381.0,https://eikaiwa.dmm.com/uknow/questions/34913/,3640,False
15492,wife,妻,5,2596.0,https://eikaiwa.dmm.com/uknow/questions/51389/,3634,False
23058,small,小さい,15,1331.0,https://eikaiwa.dmm.com/uknow/questions/34487/,3575,False
24888,order,秩序,3,1149.0,https://eikaiwa.dmm.com/uknow/questions/59118/,3567,False
6931,hurt,痛い,18,7197.0,https://eikaiwa.dmm.com/uknow/questions/36238/,3560,False
4803,ok,わかりました,19,10421.0,https://eikaiwa.dmm.com/uknow/questions/36512/,3541,False
10746,pay,利益を回収する,5,4322.0,https://eikaiwa.dmm.com/uknow/questions/33513/,3466,False
9569,wish,願い事,6,4977.0,https://eikaiwa.dmm.com/uknow/questions/36698/,3440,False
22104,send,届ける,1,1432.0,https://eikaiwa.dmm.com/uknow/questions/55797/,3418,False
16980,side,側面,0,2238.0,https://eikaiwa.dmm.com/uknow/questions/46741/,3399,False
18444,myself,自分自身,3,1957.0,https://eikaiwa.dmm.com/uknow/questions/59187/,3356,False
36201,beautiful,美しく,4,454.0,https://eikaiwa.dmm.com/uknow/questions/46003/,3352,False
17129,business,ビジネス,0,2205.0,https://eikaiwa.dmm.com/uknow/questions/44587/,3350,False
29702,full,満腹,3,789.0,https://eikaiwa.dmm.com/uknow/questions/59171/,3341,False
14577,light,薄い,8,2842.0,https://eikaiwa.dmm.com/uknow/questions/52071/,3294,False
9118,stand,屋台,8,5284.0,https://eikaiwa.dmm.com/uknow/questions/42356/,3259,False
10480,question,問題,11,4464.0,https://eikaiwa.dmm.com/uknow/questions/36604/,3231,False
7356,company,会社,16,6791.0,https://eikaiwa.dmm.com/uknow/questions/36366/,3221,False
8616,minutes,分,10,5661.0,https://eikaiwa.dmm.com/uknow/questions/59499/,3181,False
1435,break,休み時間,97,26783.0,https://eikaiwa.dmm.com/uknow/questions/19378/,3151,False
1597,word,単語,65,24681.0,https://eikaiwa.dmm.com/uknow/questions/38425/,3129,False
11685,baby,赤ちゃん,15,3882.0,https://eikaiwa.dmm.com/uknow/questions/33924/,3124,False
23190,moment,瞬間,4,1319.0,https://eikaiwa.dmm.com/uknow/questions/56778/,3117,False
13565,easy,楽だろうな,1,3157.0,https://eikaiwa.dmm.com/uknow/questions/28260/,3106,False
14229,lose,紛失,11,2946.0,https://eikaiwa.dmm.com/uknow/questions/33937/,3088,False
36682,shit,いっけねえ,2,433.0,https://eikaiwa.dmm.com/uknow/questions/53819/,3088,False
11438,wow,すごいね,7,3986.0,https://eikaiwa.dmm.com/uknow/questions/7120/,3049,False
36325,sometimes,～しなきゃいけない時だってある,3,448.0,https://eikaiwa.dmm.com/uknow/questions/46377/,3030,False
26279,decided,決定する,1,1028.0,https://eikaiwa.dmm.com/uknow/questions/55886/,3025,False
23304,afraid,恐れる,3,1305.0,https://eikaiwa.dmm.com/uknow/questions/57796/,3021,False
14157,speak,実際に喋ること,4,2965.0,https://eikaiwa.dmm.com/uknow/questions/6722/,3018,False
31640,control,制御,0,679.0,https://eikaiwa.dmm.com/uknow/questions/51165/,3009,False
25121,deal,サービスに対して「じゃあお願い」,1,1126.0,https://eikaiwa.dmm.com/uknow/questions/21813/,2986,False
5241,feeling,気持ち,27,9540.0,https://eikaiwa.dmm.com/uknow/questions/38645/,2968,False
11658,safe,金庫,6,3892.0,https://eikaiwa.dmm.com/uknow/questions/56129/,2956,False
7212,information,情報,19,6907.0,https://eikaiwa.dmm.com/uknow/questions/36381/,2921,False
15375,hours,時間,8,2627.0,https://eikaiwa.dmm.com/uknow/questions/45991/,2909,False
9782,perhaps,そうかもね,5,4858.0,https://eikaiwa.dmm.com/uknow/questions/7829/,2853,False
6773,women,女性,15,7395.0,https://eikaiwa.dmm.com/uknow/questions/37911/,2822,False
25261,follow,会社の慣習に黙って従うことが大切,3,1115.0,https://eikaiwa.dmm.com/uknow/questions/37052/,2783,False
14877,plan,計画,10,2758.0,https://eikaiwa.dmm.com/uknow/questions/38742/,2782,False
29630,alone,ひとりぼっち,1,793.0,https://eikaiwa.dmm.com/uknow/questions/60610/,2775,False
4653,return,返す,7,10708.0,https://eikaiwa.dmm.com/uknow/questions/44522/,2756,False
27870,war,戦争,13,911.0,https://eikaiwa.dmm.com/uknow/questions/52590/,2726,False
14868,tomorrow,明日,31,2761.0,https://eikaiwa.dmm.com/uknow/questions/36265/,2696,False
23985,completely,完全に,1,1234.0,https://eikaiwa.dmm.com/uknow/questions/55003/,2683,False
10988,doctor,博士,2,4194.0,https://eikaiwa.dmm.com/uknow/questions/54483/,2675,False
29338,sound,音,3,811.0,https://eikaiwa.dmm.com/uknow/questions/52468/,2655,False
22879,future,今後の,1,1348.0,https://eikaiwa.dmm.com/uknow/questions/61407/,2648,False
729,free,無料,58,40236.0,https://eikaiwa.dmm.com/uknow/questions/38664/,2619,False
9724,single,独身,9,4891.0,https://eikaiwa.dmm.com/uknow/questions/44111/,2608,False
32825,truth,本当の,3,616.0,https://eikaiwa.dmm.com/uknow/questions/59607/,2601,False
29312,promise,約束,3,813.0,https://eikaiwa.dmm.com/uknow/questions/52247/,2599,False
1441,later,後日,16,26744.0,https://eikaiwa.dmm.com/uknow/questions/22504/,2588,False
13004,system,制度,1,3353.0,https://eikaiwa.dmm.com/uknow/questions/46213/,2585,False
34191,figure,スタイル,1,549.0,https://eikaiwa.dmm.com/uknow/questions/57300/,2570,False
15004,drink,摂取する,1,2721.0,https://eikaiwa.dmm.com/uknow/questions/39058/,2562,False
3252,words,言葉,36,14662.0,https://eikaiwa.dmm.com/uknow/questions/34273/,2552,False
13445,calm,静か,10,3199.0,https://eikaiwa.dmm.com/uknow/questions/36974/,2540,False
34823,th,日,0,519.0,https://eikaiwa.dmm.com/uknow/questions/60209/,2528,False
9484,hurry,急いで,8,5044.0,https://eikaiwa.dmm.com/uknow/questions/48138/,2522,False
11738,game,試合,8,3858.0,https://eikaiwa.dmm.com/uknow/questions/48149/,2490,False
17353,detective,刑事,16,2153.0,https://eikaiwa.dmm.com/uknow/questions/59491/,2482,False
7151,anyway,もともと一年で辞めるつもりだったんだよ,17,6963.0,https://eikaiwa.dmm.com/uknow/questions/1739/,2480,False
1275,captain,部長,40,28595.0,https://eikaiwa.dmm.com/uknow/questions/31993/,2464,False
11786,building,物件,5,3833.0,https://eikaiwa.dmm.com/uknow/questions/49685/,2450,False
8854,clear,削除,1,5478.0,https://eikaiwa.dmm.com/uknow/questions/35020/,2440,False
24588,sense,感性,5,1178.0,https://eikaiwa.dmm.com/uknow/questions/50744/,2423,False
4898,possible,ありうる,26,10253.0,https://eikaiwa.dmm.com/uknow/questions/4331/,2422,False
36224,book,本,0,453.0,https://eikaiwa.dmm.com/uknow/questions/52899/,2421,False
29004,sleep,睡眠,0,833.0,https://eikaiwa.dmm.com/uknow/questions/59195/,2421,False
12921,brain,脳みそ,16,3385.0,https://eikaiwa.dmm.com/uknow/questions/33182/,2390,False
36167,office,事業所,0,456.0,https://eikaiwa.dmm.com/uknow/questions/62946/,2388,False
15050,daughter,娘,25,2708.0,https://eikaiwa.dmm.com/uknow/questions/44256/,2363,False
28947,level,模試の判定,3,836.0,https://eikaiwa.dmm.com/uknow/questions/47330/,2361,False
6377,data,通信,8,7901.0,https://eikaiwa.dmm.com/uknow/questions/33734/,2360,False
14369,meeting,商談,3,2902.0,https://eikaiwa.dmm.com/uknow/questions/56701/,2353,False
2439,husband,夫,19,18324.0,https://eikaiwa.dmm.com/uknow/questions/32111/,2308,False
1096,definitely,絶対,81,32049.0,https://eikaiwa.dmm.com/uknow/questions/33790/,2298,False
11196,secret,秘密,5,4098.0,https://eikaiwa.dmm.com/uknow/questions/34748/,2294,False
20085,dark,暗い,2,1693.0,https://eikaiwa.dmm.com/uknow/questions/46757/,2273,False
13199,news,出来事,11,3280.0,https://eikaiwa.dmm.com/uknow/questions/42074/,2272,False
28078,pull,引っ張る,2,896.0,https://eikaiwa.dmm.com/uknow/questions/57095/,2258,False
14197,moving,転居,8,2955.0,https://eikaiwa.dmm.com/uknow/questions/36693/,2256,False
33734,either,どちらか,1,570.0,https://eikaiwa.dmm.com/uknow/questions/57802/,2251,False
6793,shoot,『しまった』,25,7376.0,https://eikaiwa.dmm.com/uknow/questions/25826/,2240,False
13407,dream,夢,4,3210.0,https://eikaiwa.dmm.com/uknow/questions/52182/,2211,False
3647,picture,映像,26,13297.0,https://eikaiwa.dmm.com/uknow/questions/40239/,2206,False
16322,group,グループ,2,2384.0,https://eikaiwa.dmm.com/uknow/questions/33107/,2196,False
33860,however,しかし,10,564.0,https://eikaiwa.dmm.com/uknow/questions/51881/,2194,False
32610,instead,代わりに〇〇でもいい,2,628.0,https://eikaiwa.dmm.com/uknow/questions/39071/,2182,False
23801,create,生み出す,1,1251.0,https://eikaiwa.dmm.com/uknow/questions/56339/,2176,False
14402,public,公開,1,2892.0,https://eikaiwa.dmm.com/uknow/questions/36713/,2174,False
